epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,464.078,0.17404,2.24128,0.96096,0.2173,0.76473,0.28915,0.289,0.17491,1.67538,0.36308,0.00333022,0.00333022,0.00333022
2,722.95,0.14957,1.66944,0.91838,0.25015,0.64361,0.37758,0.35039,0.2817,1.55556,0.47412,0.00659758,0.00659758,0.00659758
3,997.882,0.17227,1.51064,0.9217,0.34784,0.6288,0.4509,0.44809,0.24482,1.26458,0.42908,0.00979894,0.00979894,0.00979894
4,1257.33,0.15892,1.43804,0.91894,0.37841,0.67648,0.47128,0.46436,0.2643,1.23111,0.46339,0.009703,0.009703,0.009703
5,1505.96,0.13142,1.37713,0.90723,0.44018,0.67304,0.53807,0.53715,0.18129,1.12325,0.35221,0.009604,0.009604,0.009604
6,1760.12,0.11369,1.34786,0.9019,0.38592,0.68504,0.49786,0.49042,0.19826,1.21077,0.36678,0.009505,0.009505,0.009505
7,2014.28,0.10199,1.31934,0.89862,0.47604,0.65709,0.57936,0.57703,0.18634,1.06091,0.3559,0.009406,0.009406,0.009406
8,2268.47,0.09504,1.29908,0.89656,0.52691,0.68941,0.62969,0.62942,0.11811,0.98567,0.25876,0.009307,0.009307,0.009307
9,2522.78,0.08773,1.28742,0.89514,0.52261,0.67434,0.61493,0.61179,0.20463,1.00721,0.38039,0.009208,0.009208,0.009208
10,2776.15,0.08209,1.27185,0.8939,0.52264,0.68895,0.62981,0.62884,0.17437,1.02929,0.33849,0.009109,0.009109,0.009109
11,3028.74,inf,1.25789,0.89343,0.54818,0.66019,0.63905,0.639,0.15288,0.98412,0.2933,0.00901,0.00901,0.00901
12,3281.95,0.07556,1.23778,0.89114,0.55808,0.66085,0.65318,0.6336,0.18689,0.99583,0.32594,0.008911,0.008911,0.008911
13,3584.18,0.073,1.23226,0.8911,0.56702,0.69249,0.67163,0.67157,0.14213,0.92948,0.28751,0.008812,0.008812,0.008812
14,3980.09,0.07141,1.2245,0.89291,0.61665,0.67945,0.69812,0.69759,0.15569,0.90361,0.31447,0.008713,0.008713,0.008713
15,4481.05,0.06885,1.20963,0.88968,0.60189,0.68844,0.69126,0.69008,0.14203,0.91566,0.29484,0.008614,0.008614,0.008614
16,5003.7,0.06698,1.20366,0.89144,0.61959,0.69935,0.71419,0.71416,0.12709,0.85017,0.29695,0.008515,0.008515,0.008515
17,5683.62,0.06686,1.19372,0.89098,0.63182,0.68767,0.72568,0.72554,0.12484,0.83041,0.27861,0.008416,0.008416,0.008416
